sub_catagory,Season
Indian Chutney,no season
Indian Curry,no season
Continental Food,School vacations
Sweet Recipes (Indian Mithai / Indian ,"Diwali, Dusshera"
Poriyal Recipes,no season
Sabzi,no season
Flavoured Rice,no season
Biryani,IPL
Indian Snack,School vacations
Dessert,Summer
Cake,Christmas
Cookies,Christmas
Homemade Bread,no season
Italian,IPL
Continental Breakfast,no season
Continental Party Appetizer & Starter,Diwali
Indian Bread,no season
Indian Chinese,IPL
Soup,Winter
Indian Breakfast,no season
"Thai Recipes,Malaysian & East Asian",no season
Sandwich,School vacations
Smoothies,Summer
Salad,no season
"Chocolate, Coffee & Tea Drink",Winter
Baby Food,no season
"Homemade Jams, Sauce & Pesto",Summer
Mexican,no season
Frankie Rolls,IPL
Indian Starter,School vacations
Dosa,no season
