sub_catagory,Mood
Indian Chutney,Salt craving
Indian Curry,Hungry
Continental Food,Hungry
Sweet Recipes (Indian Mithai / Indian ,"Sweet Craving,Celebrate"
Poriyal Recipes,Healthy eating
Sabzi,Healthy eating
Flavoured Rice,Hungry
Biryani,"Stressed,Bored,Hungry,Celebrate"
Indian Snack,Bored
Dessert,"Sweet Craving,Celebrate"
Cake,Celebrate
Cookies,Bored
Homemade Bread,Healthy eating
Italian,Bored
Continental Breakfast,Experimental
Continental Party Appetizer & Starter,Celebrate
Indian Bread,Healthy eating
Indian Chinese,"Hungry,Spice Craving"
Soup,Hungry
Indian Breakfast,Healthy eating
"Thai Recipes,Malaysian & East Asian",Experimental
Sandwich,Bored
Smoothies,"Stressed,Sweet Craving"
Salad,Healthy eating
"Chocolate, Coffee & Tea Drink",Stressed
Baby Food,Bored
"Homemade Jams, Sauce & Pesto",Healthy eating
Mexican,Experimental
Frankie Rolls,Hungry
Indian Starter,"Celebrate,spice craving"
Dosa,Healthy eating
