sub_catagory,Category
Indian Chutney,Side dish
Indian Curry,Lunch / Dinner
Continental Food,Lunch / Dinner
Sweet Recipes (Indian Mithai / Indian ,Dessert
Poriyal Recipes,Breakfast
Sabzi,Lunch / Dinner
Flavoured Rice,Lunch / Dinner
Biryani,Lunch / Dinner
Indian Snack,Tea time snack
Dessert,Dessert
Cake,Dessert
Cookies,Tea time snack
Homemade Bread,Tea time snack
Italian,Lunch / Dinner
Continental Breakfast,Breakfast
Continental Party Appetizer & Starter,Appetizer
Indian Bread,Lunch / Dinner
Indian Chinese,Lunch / Dinner
Soup,Side dish
Indian Breakfast,Breakfast
"Thai Recipes,Malaysian & East Asian",Lunch / Dinner
Sandwich,Breakfast
Smoothies,Dessert
Salad,Side dish
"Chocolate, Coffee & Tea Drink",Tea time snack
Baby Food,Lunch / Dinner
"Homemade Jams, Sauce & Pesto",Side dish
Mexican,Lunch / Dinner
Frankie Rolls,Tea time snack
Indian Starter,Side dish
Dosa,Breakfast
