Name,description,sub_catagory,Veg_Non,Review,Cusine,Diet,Price
Himachali Dry Raw Mango Chutney Recipe,Aam Papad (Sun Dried Mango)|Mint Leaves (Pudina)|Coriander (Dhania) Leaves|Green Chillies|Sugar|Salt|Hot water,Indian Chutney,veg,4.909473684,Himachal,Vegetarian,475
Aamras Ki Kadhi Recipe - Mango Kadhi Recipe,Aamras|Gram flour (besan)|Turmeric powder (Haldi)|Water|Dry Red Chilli|Asafoetida (hing)|Cumin seeds (Jeera)|Red Chilli powder|Ginger|Curry leaves|Salt,Indian Curry,veg,4.873846154,Gujarati Recipes﻿,Vegetarian,337
Aar Macher Jhol Recipe - Bengali Fish Curry,Aar Maach (fish)|Tomato|Bay leaf (tej patta)|Green Chillies|Cumin seeds (Jeera)|Coriander Powder (Dhania)|Red Chilli powder|Turmeric powder (Haldi)|Mustard oil|Salt|Water|Coriander (Dhania) Leaves,,non-veg,4.861888353,Bengali Recipes,High Protein Non Vegetarian,384
Aar Macher Jhol Recipe - Bengali Style Fish In Tomato Gravy,Aar Maach (fish)|Tomato|Bay leaves (tej patta)|Ginger|Green Chillies|Cumin powder (Jeera)|Coriander Powder (Dhania)|Salt|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Green Chillies|Mustard oil|Water|Sugar|Coriander (Dhania) Leaves,,non-veg,4.927437642,Bengali Recipes,High Protein Non Vegetarian,372
Acorn Squash Sambal Recipe,Acorn Squash|Sambal paste|Turmeric powder (Haldi)|Ginger|Garlic|Groundnut oil|Salt,Continental Food,non-veg,4.93647541,Asian,Non Vegeterian,513
Kerala Palada Pradhaman Recipe,Ada|Milk|Sugar|Cardamom Powder (Elaichi),Sweet Recipes (Indian Mithai / Indian ,veg,4.901949203,Kerala Recipes,Vegetarian,461
Agathi Keerai Recipe,Agathi keerai|Yellow Moong Dal (Split)|Cumin seeds (Jeera)|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Jaggery|Dry Red Chillies|Fresh coconut|Oil|Salt,Poriyal Recipes,veg,4.919254658,South Indian Recipes,Vegetarian,383
Gujarati Undhiyu Recipe - Mixed Vegetable With Fenugreek Dumplings,Ajwain (Carom seeds)|Asafoetida (hing)|Flat Green Beans|Sweet Potatoes|Elephant yam (Suran/Senai/Ratalu)|Purple yam|Raw Banana|Salt|Small Brinjal (Baingan / Eggplant)|Baby Potatoes|Fresh coconut|Coriander (Dhania) Leaves|Garlic|Ginger|Green Chillies|Sesame seeds (Til seeds)|Coriander (Dhania) Seeds|Turmeric powder (Haldi)|Red Chilli powder|Lemon juice|Sugar|Salt|Methi Leaves (Fenugreek Leaves)|Gram flour (besan)|Turmeric powder (Haldi)|Red Chilli powder|Asafoetida (hing)|Enos Fruit Salt|Sugar|Lemon|Oil|Salt,Sabzi,veg,4.828654405,Gujarati Recipes﻿,Vegetarian,212
Vegetable Yakhni Pulao Recipe,Ajwain (Carom seeds)|Coriander (Dhania) Seeds|Fennel seeds (Saunf)|Cloves (Laung)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini)|Whole Black Peppercorns|Basmati rice|Onion|Ginger|Garlic|Green Chillies|Bay leaf (tej patta)|Carrot (Gajjar)|Cauliflower (gobi)|Green beans (French Beans)|Green peas (Matar)|Mint Leaves (Pudina)|Salt|Caramelized onions|Mint Leaves (Pudina)|Cashew nuts|Sultana Raisins,Flavoured Rice,veg,4.925895087,North Indian Recipes,Vegetarian,454
Prawns Biryani Recipe,Ajwain (Carom seeds)|Fennel seeds (Saunf)|Cardamom (Elaichi) Pods/Seeds|Clove powder (Laung)|Cinnamon Stick (Dalchini)|Oil|Onions|Bay leaves (tej patta)|Cinnamon Stick (Dalchini)|Cloves (Laung)|Cardamom (Elaichi) Pods/Seeds|Star anise|Basmati rice|Prawns|Red Chilli powder|Turmeric powder (Haldi)|Lemon|Mint Leaves (Pudina)|Salt,Biryani,non-veg,4.863601824,Indian,Non Vegeterian,348
Phool Mathri Recipe,All Purpose Flour (Maida)|Ajwain (Carom seeds)|Salt|Lukewarm Water|Oil,Indian Snack,veg,4.894563427,Indian,Vegetarian,361
Corn Matar Kachori Recipe,All Purpose Flour (Maida)|Ajwain (Carom seeds)|Salt|Sunflower Oil|Green peas (Matar)|Sweet corn|Green Chillies|Ginger|Fennel seeds (Saunf)|Chaat Masala Powder|Coriander (Dhania) Leaves|Salt,Indian Snack,veg,4.895027624,Indian,Vegetarian,546
Jalapeno Cheese Samosa Recipe,All Purpose Flour (Maida)|Ajwain (Carom seeds)|Salt|Water|Britannia Cheezza|Pickled Jalapenos|Britannia Cheese Spread - Four Pepper Tango|Coriander (Dhania) Leaves,Indian Snack,veg,4.934799894,Fusion,Vegetarian,391
Nimki Aloo Anardana Curry Recipe - Potato And Nimki Curry,All Purpose Flour (Maida)|Ajwain (Carom seeds)|Sooji (Semolina/ Rava)|Salt|Water|Oil|Potatoes (Aloo)|Onion|Oil|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Red Chilli powder|Coriander Powder (Dhania)|Anardana Powder (Pomegranate Seed Powder)|Fennel seeds (Saunf)|Sugar|Salt|Kasuri Methi (Dried Fenugreek Leaves)|Coriander (Dhania) Leaves|Fresh Pomegranate Fruit Kernels|Lemon wedges|Onion,Sabzi,veg,4.937888199,North Indian Recipes,Vegetarian,332
